Date,Price
02/01/2019,11058
03/01/2019,10641.4
04/01/2019,10717.2
05/01/2019,10717.2
06/01/2019,10717.2
07/01/2019,10868.6
08/01/2019,10792.9
09/01/2019,10982.3
10/01/2019,10944.4
11/01/2019,10944.4
12/01/2019,10944.4
13/01/2019,10944.4
14/01/2019,10868.6
15/01/2019,11020.1
16/01/2019,10906.5
17/01/2019,10944.4
18/01/2019,10830.8
19/01/2019,10830.8
20/01/2019,10830.8
21/01/2019,11171.6
22/01/2019,11020.1
23/01/2019,11020.1
24/01/2019,11058
25/01/2019,11058
26/01/2019,11058
27/01/2019,11058
28/01/2019,10944.4
29/01/2019,10982.3
30/01/2019,11095.9
31/01/2019,11133.7
01/02/2019,11171.6
02/02/2019,11171.6
03/02/2019,11171.6
04/02/2019,11171.6
05/02/2019,11171.6
06/02/2019,11171.6
07/02/2019,11171.6
08/02/2019,11171.6
09/02/2019,11171.6
10/02/2019,11171.6
11/02/2019,11436.7
12/02/2019,11550.3
13/02/2019,11550.3
14/02/2019,11398.8
15/02/2019,11436.7
16/02/2019,11436.7
17/02/2019,11436.7
18/02/2019,11512.4
19/02/2019,11474.6
20/02/2019,11512.4
21/02/2019,11398.8
22/02/2019,11550.3
23/02/2019,11550.3
24/02/2019,11550.3
25/02/2019,11739.7
26/02/2019,11663.9
27/02/2019,11588.2
28/02/2019,11247.3
01/03/2019,11361
02/03/2019,11361
03/03/2019,11361
04/03/2019,11512.4
05/03/2019,11474.6
06/03/2019,11474.6
07/03/2019,11550.3
08/03/2019,11474.6
09/03/2019,11474.6
10/03/2019,11474.6
11/03/2019,11512.4
12/03/2019,11701.8
13/03/2019,11891.1
14/03/2019,11929
15/03/2019,12004.7
16/03/2019,12004.7
17/03/2019,12004.7
18/03/2019,12080.5
19/03/2019,11853.3
20/03/2019,11739.7
21/03/2019,11512.4
22/03/2019,11550.3
23/03/2019,11550.3
24/03/2019,11550.3
25/03/2019,11398.8
26/03/2019,11474.6
27/03/2019,11512.4
28/03/2019,11474.6
29/03/2019,11474.6
30/03/2019,11474.6
31/03/2019,11474.6
01/04/2019,11474.6
02/04/2019,11474.6
03/04/2019,11398.8
04/04/2019,11436.7
05/04/2019,11436.7
06/04/2019,11436.7
07/04/2019,11436.7
08/04/2019,11663.9
09/04/2019,11550.3
10/04/2019,11436.7
11/04/2019,11474.6
12/04/2019,11436.7
13/04/2019,11436.7
14/04/2019,11436.7
15/04/2019,11436.7
16/04/2019,11361
17/04/2019,11323.1
18/04/2019,11247.3
19/04/2019,11209.5
20/04/2019,11209.5
21/04/2019,11209.5
22/04/2019,11095.9
23/04/2019,11209.5
24/04/2019,11398.8
25/04/2019,11361
26/04/2019,11398.8
27/04/2019,11398.8
28/04/2019,11398.8
29/04/2019,11398.8
30/04/2019,11398.8
01/05/2019,11398.8
02/05/2019,11247.3
03/05/2019,11361
04/05/2019,11361
05/05/2019,11361
06/05/2019,11133.7
07/05/2019,11171.6
08/05/2019,11171.6
09/05/2019,11020.1
10/05/2019,11095.9
11/05/2019,11095.9
12/05/2019,11095.9
13/05/2019,11058
14/05/2019,11020.1
15/05/2019,11171.6
16/05/2019,11095.9
17/05/2019,11058
18/05/2019,11058
