Date,Price
02/01/2019,1700
03/01/2019,1600
04/01/2019,1600
05/01/2019,1600
06/01/2019,1600
07/01/2019,1600
08/01/2019,1600
09/01/2019,1700
10/01/2019,1600
11/01/2019,1700
12/01/2019,1700
13/01/2019,1700
14/01/2019,1700
15/01/2019,1600
16/01/2019,1600
17/01/2019,1600
18/01/2019,1700
19/01/2019,1700
20/01/2019,1700
21/01/2019,1600
22/01/2019,1600
23/01/2019,1600
24/01/2019,1600
25/01/2019,1600
26/01/2019,1600
27/01/2019,1600
28/01/2019,1700
29/01/2019,1600
30/01/2019,1600
31/01/2019,1600
01/02/2019,1600
02/02/2019,1600
03/02/2019,1600
04/02/2019,1600
05/02/2019,1600
06/02/2019,1600
07/02/2019,1600
08/02/2019,1600
09/02/2019,1600
10/02/2019,1600
11/02/2019,1600
12/02/2019,1700
13/02/2019,1800
14/02/2019,1700
15/02/2019,1700
16/02/2019,1700
17/02/2019,1700
18/02/2019,1700
19/02/2019,1700
20/02/2019,1700
21/02/2019,1600
22/02/2019,1700
23/02/2019,1700
24/02/2019,1700
25/02/2019,1700
26/02/2019,1600
27/02/2019,1700
28/02/2019,1600
01/03/2019,1700
02/03/2019,1700
03/03/2019,1700
04/03/2019,1700
05/03/2019,1700
06/03/2019,1700
07/03/2019,1800
08/03/2019,1700
09/03/2019,1700
10/03/2019,1700
11/03/2019,1700
12/03/2019,1700
13/03/2019,1700
14/03/2019,1700
15/03/2019,1700
16/03/2019,1700
17/03/2019,1700
18/03/2019,1700
19/03/2019,1700
20/03/2019,1700
21/03/2019,1700
22/03/2019,1700
23/03/2019,1700
24/03/2019,1700
25/03/2019,1700
26/03/2019,1700
27/03/2019,1700
28/03/2019,1700
29/03/2019,1700
30/03/2019,1700
31/03/2019,1700
01/04/2019,1700
02/04/2019,1700
03/04/2019,1600
04/04/2019,1700
05/04/2019,1700
06/04/2019,1700
07/04/2019,1700
08/04/2019,1600
09/04/2019,1600
10/04/2019,1600
11/04/2019,1600
12/04/2019,1600
13/04/2019,1600
14/04/2019,1600
15/04/2019,1600
16/04/2019,1800
17/04/2019,2000
18/04/2019,2000
19/04/2019,2000
20/04/2019,2000
21/04/2019,2000
22/04/2019,1800
23/04/2019,1700
24/04/2019,1800
25/04/2019,1800
26/04/2019,1700
27/04/2019,1700
28/04/2019,1700
29/04/2019,1700
30/04/2019,1700
01/05/2019,1700
02/05/2019,1600
03/05/2019,1700
04/05/2019,1700
05/05/2019,1700
06/05/2019,1600
07/05/2019,1600
08/05/2019,1600
09/05/2019,1600
10/05/2019,1600
11/05/2019,1600
12/05/2019,1600
13/05/2019,1600
14/05/2019,1500
15/05/2019,1600
16/05/2019,1600
17/05/2019,1500
18/05/2019,1500
19/05/2019,1500
20/05/2019,1600
21/05/2019,1600
22/05/2019,1500
23/05/2019,1500
24/05/2019,1600
25/05/2019,1600
26/05/2019,1600
27/05/2019,1500
28/05/2019,1500
29/05/2019,1500
30/05/2019,1500
31/05/2019,1500
01/06/2019,1500
02/06/2019,1500
03/06/2019,1500
04/06/2019,1500
05/06/2019,1500
06/06/2019,1500
07/06/2019,1400
08/06/2019,1400
09/06/2019,1400
10/06/2019,1500
11/06/2019,1400
12/06/2019,1500
13/06/2019,1500
14/06/2019,1500
15/06/2019,1500
16/06/2019,1500
17/06/2019,1500
18/06/2019,1500
19/06/2019,1500
20/06/2019,1500
21/06/2019,1500
22/06/2019,1500
23/06/2019,1500
24/06/2019,1500
25/06/2019,1500
26/06/2019,1500
27/06/2019,1400
28/06/2019,1500
29/06/2019,1500
30/06/2019,1500
01/07/2019,1500
02/07/2019,1500
03/07/2019,1400
04/07/2019,1500
05/07/2019,1500
06/07/2019,1500
07/07/2019,1500
08/07/2019,1400
09/07/2019,1500
10/07/2019,1400
11/07/2019,1400
12/07/2019,1400
13/07/2019,1400
14/07/2019,1400
15/07/2019,1400
16/07/2019,1400
17/07/2019,1400
18/07/2019,1400
19/07/2019,1400
20/07/2019,1400
21/07/2019,1400
22/07/2019,1400
23/07/2019,1300
24/07/2019,1400
25/07/2019,1400
26/07/2019,1400
27/07/2019,1400
28/07/2019,1400
29/07/2019,1400
30/07/2019,1300
31/07/2019,1300
01/08/2019,1400
02/08/2019,1400
03/08/2019,1400
04/08/2019,1400
05/08/2019,1400
06/08/2019,1300
07/08/2019,1400
08/08/2019,1400
09/08/2019,1400
10/08/2019,1400
11/08/2019,1400
12/08/2019,1300
13/08/2019,1300
14/08/2019,1300
15/08/2019,1300
16/08/2019,1300
17/08/2019,1300
18/08/2019,1300
19/08/2019,1400
20/08/2019,1400
21/08/2019,1400
22/08/2019,1400
23/08/2019,1400
24/08/2019,1400
25/08/2019,1400
26/08/2019,1300
27/08/2019,1300
28/08/2019,1300
29/08/2019,1300
30/08/2019,1300
31/08/2019,1300
01/09/2019,1300
02/09/2019,1300
03/09/2019,1300
04/09/2019,1400
05/09/2019,1300
06/09/2019,1400
07/09/2019,1400
08/09/2019,1400
09/09/2019,1400
10/09/2019,1300
11/09/2019,1300
12/09/2019,1400
13/09/2019,1400
14/09/2019,1400
15/09/2019,1400
16/09/2019,1300
17/09/2019,1300
18/09/2019,1400
19/09/2019,1300
20/09/2019,1400
21/09/2019,1400
22/09/2019,1400
23/09/2019,1300
24/09/2019,1400
25/09/2019,1300
26/09/2019,1300
27/09/2019,1400
28/09/2019,1400
29/09/2019,1400
30/09/2019,1300
01/10/2019,1300
02/10/2019,1300
03/10/2019,1300
04/10/2019,1200
05/10/2019,1200
06/10/2019,1200
07/10/2019,1300
08/10/2019,1300
09/10/2019,1300
10/10/2019,1300
11/10/2019,1200
12/10/2019,1200
13/10/2019,1200
14/10/2019,1300
15/10/2019,1300
16/10/2019,1300
17/10/2019,1300
18/10/2019,1300
19/10/2019,1300
20/10/2019,1300
21/10/2019,1300
22/10/2019,1300
23/10/2019,1300
24/10/2019,1300
25/10/2019,1300
26/10/2019,1300
27/10/2019,1300
28/10/2019,1200
29/10/2019,1200
30/10/2019,1200
